Enhancer,Marker,Sample#,Thumbnail,\|E\|,\|D\|,\|M\|,\|TP\|,Specificity,Sensitivity,Composite Images
FOXP2_RORB ( FOXP2_RORB_E4),antiRORB,2,17FnY173ZAAiAQ04HKW_q6kSWZObLJT9n,528,14178,6067,210,0.9608,0.0346,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AAfll2PVR0kz34f_Sx7leCM/FOXP2_RORB/antiRORB_E4_E9?dl=0&e=1&preview=cjFlorian_FRC-WB4-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aRORB647_20X.tif&rlkey=azzm86dlj60kc7ztq8xek9096
FOXP2_RORB ( FOXP2_RORB_E4),antiRORB,3,1pdYgYdunJE7716hAlk3bIy6sHZy44SIP,378,12376,3079,119,0.9721,0.0386,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AAfll2PVR0kz34f_Sx7leCM/FOXP2_RORB/antiRORB_E4_E9?dl=0&e=1&preview=cjFlorian_FRC-WC4-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aRORB647_20X.tif&rlkey=azzm86dlj60kc7ztq8xek9096
FOXP2_RORB ( FOXP2_RORB_E4),antiFOXP2,1,1txyDzPQPN78rmeMocwxpKG39JzXoXkBk,38,4155,1864,31,0.9969,0.0166,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK-nrTVR3pbKAsCeRWsRGQg/FOXP2_RORB/antiFOXP2_E4_E9?dl=0&e=1&preview=cjFlorian_FRC-WB5-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aFOXP2-647_10X.tif&rlkey=azzm86dlj60kc7ztq8xek9096
FOXP2_RORB ( FOXP2_RORB_E4),antiFOXP2,2,1DZ9sKeUtZLGVzVrx-FjwxiIPhXg3VIn7,234,14026,6546,168,0.9912,0.0257,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK-nrTVR3pbKAsCeRWsRGQg/FOXP2_RORB/antiFOXP2_E4_E9?dl=0&e=1&preview=cjFlorian_FRC-WC5-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aFOXP2-647_10X.tif&rlkey=azzm86dlj60kc7ztq8xek9096
FOXP2_RORB ( FOXP2_RORB_E4),antiFOXP2,3,1u90Y-AelGZPvxtx83QvfsagwlQbkrJWp,1114,15539,5118,499,0.941,0.0975,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK-nrTVR3pbKAsCeRWsRGQg/FOXP2_RORB/antiFOXP2_E4_E9?dl=0&e=1&preview=MAX_cjFlorian_FRC-WA5-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aFOXP2-647_10X_fixed.tif&rlkey=azzm86dlj60kc7ztq8xek9096
FOXP2_RORB ( FOXP2_RORB_E9),antiRORB,1,1i4YYHnTPFTmFxmJA5UJRmWQs_ZkMQnpZ,766,6666,3322,221,0.837,0.0665,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AAfll2PVR0kz34f_Sx7leCM/FOXP2_RORB/antiRORB_E4_E9?dl=0&e=1&preview=cjFlorian_FRC-WA4-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aRORB647_20X.tif&rlkey=azzm86dlj60kc7ztq8xek9096
FOXP2_RORB ( FOXP2_RORB_E9),antiRORB,2,10O0d49TQi-5np3cYabtyQ9Wnohqw4fmG,294,14178,6067,70,0.9724,0.0115,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AAfll2PVR0kz34f_Sx7leCM/FOXP2_RORB/antiRORB_E4_E9?dl=0&e=1&preview=cjFlorian_FRC-WB4-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aRORB647_20X.tif&rlkey=azzm86dlj60kc7ztq8xek9096
FOXP2_RORB ( FOXP2_RORB_E9),antiRORB,3,1B8RvDjH70fMUjbhI0vLS1GUHqtc46EmF,1332,12376,3079,278,0.8866,0.0903,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AAfll2PVR0kz34f_Sx7leCM/FOXP2_RORB/antiRORB_E4_E9?dl=0&e=1&preview=cjFlorian_FRC-WC4-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aRORB647_20X.tif&rlkey=azzm86dlj60kc7ztq8xek9096
FOXP2_RORB ( FOXP2_RORB_E9),antiFOXP2,1,1tvCMRj7Xl5--7yZ0MykUfdAlRjLXCHBZ,19,4155,1864,17,0.9991,0.0091,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK-nrTVR3pbKAsCeRWsRGQg/FOXP2_RORB/antiFOXP2_E4_E9?dl=0&e=1&preview=cjFlorian_FRC-WB5-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aFOXP2-647_10X.tif&rlkey=azzm86dlj60kc7ztq8xek9096
FOXP2_RORB ( FOXP2_RORB_E9),antiFOXP2,2,1nK3QV8Lxyap4jnCJz_T6YswM922Q61b1,141,14026,6546,92,0.9934,0.0141,https://www.dropbox.com/scl/fo/sbl3vykcc8vme0ijab5hv/AK-nrTVR3pbKAsCeRWsRGQg/FOXP2_RORB/antiFOXP2_E4_E9?dl=0&e=1&preview=cjFlorian_FRC-WC5-S2_cjFOXP2-RORBE4-488_cjFOXP2-RORBE9-555_aFOXP2-647_10X.tif&rlkey=azzm86dlj60kc7ztq8xek9096
